ps,n,time,total_cells,active_cells,stem_cells,active_stem_cells
0.7,10,1,2.0,2.0,2.0,2.0
0.7,10,2,4.0,4.0,4.0,4.0
0.7,10,3,8.0,8.0,7.0,7.0
0.7,10,4,16.0,16.0,11.0,11.0
0.7,10,5,32.0,32.0,19.0,19.0
0.7,10,6,62.0,60.0,29.0,27.0
0.7,10,7,116.0,108.0,48.0,44.0
0.7,10,8,200.0,168.0,76.0,65.0
0.7,10,9,317.0,234.0,112.0,82.0
0.7,10,10,478.0,322.0,151.0,93.0
0.7,10,11,686.0,416.0,193.0,102.0
0.7,10,12,958.0,544.0,250.0,124.0
0.7,10,13,1298.0,680.0,305.0,126.0
0.7,10,14,1709.0,822.0,357.0,121.0
0.7,10,15,2201.0,984.0,412.0,130.0
0.7,10,16,2789.0,1176.0,465.0,129.0
0.7,10,17,3480.0,1382.0,518.0,129.0
0.7,10,18,4287.0,1614.0,568.0,126.0
0.7,10,19,5204.0,1834.0,626.0,139.0
0.7,10,20,6279.0,2150.0,686.0,147.0
0.7,10,21,7499.0,2440.0,738.0,128.0
0.7,10,22,8857.0,2716.0,786.0,111.0
0.7,10,23,10368.0,3022.0,830.0,109.0
0.7,10,24,12058.0,3380.0,868.0,99.0
0.7,10,25,13919.0,3722.0,909.0,100.0
0.7,10,26,15964.0,4090.0,942.0,88.0
0.7,10,27,18223.0,4518.0,977.0,84.0
0.7,10,28,20650.0,4854.0,1010.0,83.0
0.7,10,29,23347.0,5394.0,1037.0,71.0
0.7,10,30,26259.0,5824.0,1075.0,82.0
0.7,10,31,29374.0,6230.0,1110.0,81.0
0.7,10,32,32752.0,6756.0,1140.0,73.0
0.7,10,33,36364.0,7224.0,1170.0,69.0
0.7,10,34,40266.0,7804.0,1196.0,65.0
0.7,10,35,44440.0,8348.0,1221.0,59.0
0.7,10,36,48852.0,8824.0,1241.0,50.0
0.7,10,37,53616.0,9528.0,1253.0,36.0
0.7,10,38,58623.0,10014.0,1265.0,30.0
0.7,10,39,63928.0,10610.0,1274.0,29.0
0.7,10,40,69596.0,11336.0,1288.0,31.0
0.7,10,41,75592.0,11992.0,1297.0,25.0
0.7,10,42,81907.0,12630.0,1304.0,19.0
0.7,10,43,88625.0,13436.0,1314.0,22.0
0.7,10,44,95658.0,14066.0,1321.0,17.0
0.7,10,45,103040.0,14764.0,1330.0,18.0
0.7,10,46,110834.0,15588.0,1338.0,19.0
0.7,10,47,119021.0,16374.0,1344.0,15.0
0.7,10,48,127566.0,17090.0,1352.0,16.0
0.7,10,49,136449.0,17766.0,1360.0,17.0
0.7,10,50,145824.0,18750.0,1367.0,18.0
0.7,10,51,155633.0,19618.0,1373.0,14.0
0.7,10,52,165880.0,20494.0,1378.0,11.0
0.7,10,53,176575.0,21390.0,1384.0,12.0
0.7,10,54,187725.0,22300.0,1387.0,8.0
0.7,10,55,199243.0,23036.0,1391.0,10.0
0.7,10,56,211346.0,24206.0,1395.0,9.0
0.7,10,57,223895.0,25098.0,1399.0,9.0
0.7,10,58,236933.0,26076.0,1401.0,6.0
0.7,10,59,250460.0,27054.0,1403.0,6.0
0.7,10,60,264509.0,28098.0,1406.0,7.0
1.0,6,1,2.0,2.0,2.0,2.0
1.0,6,2,4.0,4.0,4.0,4.0
1.0,6,3,8.0,8.0,8.0,8.0
1.0,6,4,16.0,16.0,16.0,16.0
1.0,6,5,32.0,32.0,32.0,32.0
1.0,6,6,61.0,58.0,61.0,58.0
1.0,6,7,108.0,94.0,108.0,94.0
1.0,6,8,182.0,148.0,182.0,148.0
1.0,6,9,292.0,220.0,292.0,220.0
1.0,6,10,446.0,308.0,446.0,308.0
1.0,6,11,647.0,402.0,647.0,402.0
1.0,6,12,910.0,526.0,910.0,526.0
1.0,6,13,1238.0,656.0,1238.0,656.0
1.0,6,14,1645.0,814.0,1645.0,814.0
1.0,6,15,2139.0,988.0,2139.0,988.0
1.0,6,16,2726.0,1174.0,2726.0,1174.0
1.0,6,17,3408.0,1364.0,3408.0,1364.0
1.0,6,18,4204.0,1592.0,4204.0,1592.0
1.0,6,19,5114.0,1820.0,5114.0,1820.0
1.0,6,20,6153.0,2078.0,6153.0,2078.0
1.0,6,21,7330.0,2354.0,7330.0,2354.0
1.0,6,22,8638.0,2616.0,8638.0,2616.0
1.0,6,23,10131.0,2986.0,10131.0,2986.0
1.0,6,24,11805.0,3348.0,11805.0,3348.0
1.0,6,25,13642.0,3674.0,13642.0,3674.0
1.0,6,26,15653.0,4022.0,15653.0,4022.0
1.0,6,27,17872.0,4438.0,17872.0,4438.0
1.0,6,28,20293.0,4842.0,20293.0,4842.0
1.0,6,29,22904.0,5222.0,22904.0,5222.0
1.0,6,30,25758.0,5708.0,25758.0,5708.0
1.0,6,31,28817.0,6118.0,28817.0,6118.0
1.0,6,32,32116.0,6598.0,32116.0,6598.0
1.0,6,33,35691.0,7150.0,35691.0,7150.0
1.0,6,34,39522.0,7662.0,39522.0,7662.0
1.0,6,35,43635.0,8226.0,43635.0,8226.0
1.0,6,36,48021.0,8772.0,48021.0,8772.0
1.0,6,37,52753.0,9464.0,52753.0,9464.0
1.0,6,38,57721.0,9936.0,57721.0,9936.0
1.0,6,39,62989.0,10536.0,62989.0,10536.0
1.0,6,40,68590.0,11202.0,68590.0,11202.0
1.0,6,41,74517.0,11854.0,74517.0,11854.0
1.0,6,42,80777.0,12520.0,80777.0,12520.0
1.0,6,43,87362.0,13170.0,87362.0,13170.0
1.0,6,44,94344.0,13964.0,94344.0,13964.0
1.0,6,45,101679.0,14670.0,101679.0,14670.0
1.0,6,46,109336.0,15314.0,109336.0,15314.0
1.0,6,47,117463.0,16254.0,117463.0,16254.0
1.0,6,48,125937.0,16948.0,125937.0,16948.0
1.0,6,49,134871.0,17868.0,134871.0,17868.0
1.0,6,50,144188.0,18634.0,144188.0,18634.0
1.0,6,51,153940.0,19504.0,153940.0,19504.0
1.0,6,52,164091.0,20302.0,164091.0,20302.0
1.0,6,53,174684.0,21186.0,174684.0,21186.0
1.0,6,54,185700.0,22032.0,185700.0,22032.0
1.0,6,55,197213.0,23026.0,197213.0,23026.0
1.0,6,56,209122.0,23818.0,209122.0,23818.0
1.0,6,57,221545.0,24846.0,221545.0,24846.0
1.0,6,58,234517.0,25944.0,234517.0,25944.0
1.0,6,59,247948.0,26862.0,247948.0,26862.0
1.0,6,60,261810.0,27724.0,261810.0,27724.0
0.2,2,1,2.0,2.0,1.0,1.0
0.2,2,2,4.0,4.0,1.0,1.0
0.2,2,3,8.0,8.0,2.0,2.0
0.2,2,4,16.0,16.0,3.0,3.0
0.2,2,5,32.0,32.0,4.0,4.0
0.2,2,6,60.0,56.0,4.0,4.0
0.2,2,7,108.0,96.0,4.0,2.0
0.2,2,8,184.0,152.0,4.0,1.0
0.2,2,9,295.0,222.0,4.0,1.0
0.2,2,10,449.0,308.0,4.0,1.0
0.2,2,11,652.0,406.0,4.0,1.0
0.2,2,12,908.0,512.0,5.0,2.0
0.2,2,13,1235.0,654.0,5.0,1.0
0.2,2,14,1637.0,804.0,5.0,1.0
0.2,2,15,2123.0,972.0,6.0,2.0
0.2,2,16,2706.0,1166.0,6.0,0.0
0.2,2,17,3386.0,1360.0,6.0,0.0
0.2,2,18,4191.0,1610.0,6.0,0.0
0.2,2,19,5118.0,1854.0,6.0,0.0
0.2,2,20,6163.0,2090.0,6.0,0.0
0.2,2,21,7339.0,2352.0,6.0,0.0
0.2,2,22,8672.0,2666.0,6.0,0.0
0.2,2,23,10140.0,2936.0,6.0,0.0
0.2,2,24,11778.0,3276.0,6.0,0.0
0.2,2,25,13613.0,3670.0,6.0,0.0
0.2,2,26,15612.0,3998.0,6.0,0.0
0.2,2,27,17804.0,4384.0,6.0,0.0
0.2,2,28,20177.0,4746.0,6.0,0.0
0.2,2,29,22788.0,5222.0,6.0,0.0
0.2,2,30,25643.0,5710.0,6.0,0.0
0.2,2,31,28714.0,6142.0,6.0,0.0
0.2,2,32,32029.0,6630.0,6.0,0.0
0.2,2,33,35592.0,7126.0,6.0,0.0
0.2,2,34,39407.0,7630.0,6.0,0.0
0.2,2,35,43545.0,8276.0,6.0,0.0
0.2,2,36,47889.0,8688.0,6.0,0.0
0.2,2,37,52521.0,9264.0,6.0,0.0
0.2,2,38,57487.0,9932.0,6.0,0.0
0.2,2,39,62738.0,10502.0,6.0,0.0
0.2,2,40,68306.0,11136.0,6.0,0.0
0.2,2,41,74218.0,11824.0,6.0,0.0
0.2,2,42,80426.0,12416.0,6.0,0.0
0.2,2,43,87006.0,13160.0,6.0,0.0
0.2,2,44,93971.0,13930.0,6.0,0.0
0.2,2,45,101296.0,14650.0,6.0,0.0
0.2,2,46,109026.0,15460.0,6.0,0.0
0.2,2,47,117099.0,16146.0,6.0,0.0
0.2,2,48,125557.0,16916.0,6.0,0.0
0.2,2,49,134454.0,17794.0,6.0,0.0
0.2,2,50,143713.0,18518.0,6.0,0.0
0.2,2,51,153437.0,19448.0,6.0,0.0
0.2,2,52,163611.0,20348.0,6.0,0.0
0.2,2,53,174267.0,21312.0,6.0,0.0
0.2,2,54,185306.0,22078.0,6.0,0.0
0.2,2,55,196790.0,22968.0,6.0,0.0
0.2,2,56,208803.0,24026.0,6.0,0.0
0.2,2,57,221303.0,25000.0,6.0,0.0
0.2,2,58,234305.0,26004.0,6.0,0.0
0.2,2,59,247736.0,26862.0,6.0,0.0
0.2,2,60,261731.0,27990.0,6.0,0.0
0.5,2,1,2.0,2.0,1.0,1.0
0.5,2,2,4.0,4.0,1.0,1.0
0.5,2,3,8.0,8.0,2.0,2.0
0.5,2,4,16.0,16.0,4.0,4.0
0.5,2,5,32.0,32.0,7.0,7.0
0.5,2,6,61.0,58.0,12.0,11.0
0.5,2,7,111.0,100.0,14.0,11.0
0.5,2,8,183.0,144.0,16.0,10.0
0.5,2,9,294.0,222.0,22.0,16.0
0.5,2,10,445.0,302.0,28.0,18.0
0.5,2,11,647.0,404.0,33.0,18.0
0.5,2,12,899.0,504.0,40.0,19.0
0.5,2,13,1225.0,652.0,46.0,19.0
0.5,2,14,1634.0,818.0,55.0,23.0
0.5,2,15,2128.0,988.0,62.0,20.0
0.5,2,16,2704.0,1152.0,70.0,20.0
0.5,2,17,3371.0,1334.0,78.0,23.0
0.5,2,18,4159.0,1576.0,84.0,17.0
0.5,2,19,5082.0,1846.0,87.0,14.0
0.5,2,20,6126.0,2088.0,89.0,8.0
0.5,2,21,7310.0,2368.0,91.0,8.0
0.5,2,22,8636.0,2652.0,91.0,4.0
0.5,2,23,10127.0,2982.0,92.0,3.0
0.5,2,24,11785.0,3316.0,93.0,3.0
0.5,2,25,13613.0,3656.0,93.0,1.0
0.5,2,26,15636.0,4046.0,94.0,2.0
0.5,2,27,17839.0,4406.0,95.0,2.0
0.5,2,28,20232.0,4786.0,95.0,1.0
0.5,2,29,22852.0,5240.0,95.0,0.0
0.5,2,30,25693.0,5682.0,95.0,0.0
0.5,2,31,28789.0,6192.0,95.0,0.0
0.5,2,32,32093.0,6608.0,95.0,0.0
0.5,2,33,35674.0,7162.0,95.0,0.0
0.5,2,34,39525.0,7702.0,95.0,0.0
0.5,2,35,43601.0,8152.0,95.0,0.0
0.5,2,36,48001.0,8800.0,95.0,0.0
0.5,2,37,52632.0,9262.0,95.0,0.0
0.5,2,38,57605.0,9946.0,95.0,0.0
0.5,2,39,62892.0,10574.0,95.0,0.0
0.5,2,40,68469.0,11154.0,95.0,0.0
0.5,2,41,74405.0,11872.0,95.0,0.0
0.5,2,42,80676.0,12542.0,95.0,0.0
0.5,2,43,87266.0,13180.0,95.0,0.0
0.5,2,44,94259.0,13986.0,95.0,0.0
0.5,2,45,101620.0,14722.0,95.0,0.0
0.5,2,46,109362.0,15484.0,95.0,0.0
0.5,2,47,117456.0,16188.0,95.0,0.0
0.5,2,48,125933.0,16954.0,95.0,0.0
0.5,2,49,134804.0,17742.0,95.0,0.0
0.5,2,50,144091.0,18574.0,95.0,0.0
0.5,2,51,153816.0,19450.0,95.0,0.0
0.5,2,52,163948.0,20264.0,95.0,0.0
0.5,2,53,174602.0,21308.0,95.0,0.0
0.5,2,54,185659.0,22114.0,95.0,0.0
0.5,2,55,197189.0,23060.0,95.0,0.0
0.5,2,56,209172.0,23966.0,95.0,0.0
0.5,2,57,221660.0,24976.0,95.0,0.0
0.5,2,58,234623.0,25926.0,95.0,0.0
0.5,2,59,248126.0,27006.0,95.0,0.0
0.5,2,60,262052.0,27852.0,95.0,0.0
0.3,7,1,2.0,2.0,1.0,1.0
0.3,7,2,4.0,4.0,1.0,1.0
0.3,7,3,8.0,8.0,2.0,2.0
0.3,7,4,16.0,16.0,3.0,3.0
0.3,7,5,32.0,32.0,4.0,4.0
0.3,7,6,62.0,60.0,4.0,3.0
0.3,7,7,115.0,106.0,4.0,3.0
0.3,7,8,195.0,160.0,4.0,2.0
0.3,7,9,306.0,222.0,5.0,3.0
0.3,7,10,464.0,316.0,5.0,3.0
0.3,7,11,675.0,422.0,5.0,2.0
0.3,7,12,949.0,548.0,7.0,4.0
0.3,7,13,1291.0,684.0,8.0,4.0
0.3,7,14,1709.0,836.0,8.0,3.0
0.3,7,15,2206.0,994.0,10.0,4.0
0.3,7,16,2794.0,1176.0,11.0,5.0
0.3,7,17,3492.0,1396.0,13.0,7.0
0.3,7,18,4302.0,1620.0,14.0,4.0
0.3,7,19,5226.0,1848.0,15.0,4.0
0.3,7,20,6287.0,2122.0,15.0,3.0
0.3,7,21,7481.0,2388.0,15.0,2.0
0.3,7,22,8833.0,2704.0,15.0,1.0
0.3,7,23,10338.0,3010.0,15.0,0.0
0.3,7,24,12015.0,3354.0,15.0,0.0
0.3,7,25,13855.0,3680.0,15.0,0.0
0.3,7,26,15861.0,4012.0,15.0,0.0
0.3,7,27,18072.0,4422.0,15.0,0.0
0.3,7,28,20505.0,4866.0,15.0,0.0
