ps,n,time,total_cells,active_cells,stem_cells,active_stem_cells
0.74,7,1,2.0,2.0,2.0,2.0
0.74,7,2,4.0,4.0,4.0,4.0
0.74,7,3,8.0,8.0,7.0,7.0
0.74,7,4,16.0,16.0,11.0,11.0
0.74,7,5,32.0,32.0,19.0,19.0
0.74,7,6,61.0,58.0,30.0,29.0
0.74,7,7,108.0,94.0,47.0,41.0
0.74,7,8,183.0,150.0,74.0,62.0
0.74,7,9,292.0,218.0,110.0,83.0
0.74,7,10,445.0,306.0,154.0,103.0
0.74,7,11,648.0,406.0,203.0,118.0
0.74,7,12,903.0,510.0,258.0,127.0
0.74,7,13,1218.0,630.0,320.0,142.0
0.74,7,14,1618.0,800.0,387.0,157.0
0.74,7,15,2106.0,976.0,457.0,169.0
0.74,7,16,2685.0,1158.0,534.0,180.0
0.74,7,17,3369.0,1368.0,612.0,184.0
0.74,7,18,4183.0,1628.0,689.0,180.0
0.74,7,19,5093.0,1820.0,763.0,174.0
0.74,7,20,6140.0,2094.0,842.0,183.0
0.74,7,21,7335.0,2390.0,919.0,180.0
0.74,7,22,8658.0,2646.0,993.0,179.0
0.74,7,23,10142.0,2968.0,1067.0,179.0
0.74,7,24,11808.0,3332.0,1139.0,167.0
0.74,7,25,13631.0,3646.0,1213.0,171.0
0.74,7,26,15641.0,4020.0,1281.0,157.0
0.74,7,27,17849.0,4416.0,1342.0,142.0
0.74,7,28,20275.0,4852.0,1405.0,143.0
0.74,7,29,22917.0,5284.0,1467.0,146.0
0.74,7,30,25755.0,5676.0,1533.0,148.0
0.74,7,31,28794.0,6078.0,1588.0,132.0
0.74,7,32,32055.0,6522.0,1642.0,128.0
0.74,7,33,35631.0,7152.0,1685.0,114.0
0.74,7,34,39480.0,7698.0,1727.0,100.0
0.74,7,35,43584.0,8208.0,1770.0,101.0
0.74,7,36,47961.0,8754.0,1814.0,103.0
0.74,7,37,52650.0,9378.0,1850.0,91.0
0.74,7,38,57608.0,9916.0,1883.0,77.0
0.74,7,39,62945.0,10674.0,1914.0,69.0
0.74,7,40,68542.0,11194.0,1942.0,67.0
0.74,7,41,74449.0,11814.0,1967.0,60.0
0.74,7,42,80665.0,12432.0,1992.0,54.0
0.74,7,43,87243.0,13156.0,2020.0,62.0
0.74,7,44,94268.0,14050.0,2041.0,50.0
0.74,7,45,101581.0,14626.0,2064.0,49.0
0.74,7,46,109259.0,15356.0,2073.0,29.0
0.74,7,47,117298.0,16078.0,2083.0,24.0
0.74,7,48,125760.0,16924.0,2089.0,15.0
0.74,7,49,134666.0,17812.0,2092.0,11.0
0.74,7,50,143960.0,18588.0,2094.0,7.0
0.74,7,51,153652.0,19384.0,2096.0,7.0
0.74,7,52,163804.0,20304.0,2100.0,9.0
0.67,6,1,2.0,2.0,2.0,2.0
0.67,6,2,4.0,4.0,4.0,4.0
0.67,6,3,8.0,8.0,7.0,7.0
0.67,6,4,16.0,16.0,11.0,11.0
0.67,6,5,32.0,32.0,18.0,18.0
0.67,6,6,62.0,60.0,27.0,25.0
0.67,6,7,111.0,98.0,44.0,37.0
0.67,6,8,189.0,156.0,68.0,56.0
0.67,6,9,299.0,220.0,98.0,68.0
0.67,6,10,452.0,306.0,132.0,83.0
0.67,6,11,651.0,398.0,172.0,98.0
0.67,6,12,920.0,538.0,227.0,119.0
0.67,6,13,1248.0,656.0,274.0,116.0
0.67,6,14,1651.0,806.0,320.0,117.0
0.67,6,15,2158.0,1014.0,371.0,127.0
0.67,6,16,2746.0,1176.0,428.0,133.0
0.67,6,17,3438.0,1384.0,474.0,122.0
0.67,6,18,4216.0,1556.0,513.0,104.0
0.67,6,19,5123.0,1814.0,548.0,94.0
0.67,6,20,6168.0,2090.0,582.0,89.0
0.67,6,21,7357.0,2378.0,614.0,85.0
0.67,6,22,8700.0,2686.0,648.0,86.0
0.67,6,23,10205.0,3010.0,681.0,79.0
0.67,6,24,11846.0,3282.0,716.0,79.0
0.67,6,25,13677.0,3662.0,749.0,76.0
0.67,6,26,15717.0,4080.0,767.0,54.0
0.67,6,27,17919.0,4404.0,781.0,43.0
0.67,6,28,20344.0,4850.0,791.0,34.0
0.67,6,29,22967.0,5246.0,799.0,22.0
0.67,6,30,25825.0,5716.0,806.0,18.0
0.67,6,31,28878.0,6106.0,811.0,14.0
0.67,6,32,32187.0,6618.0,814.0,8.0
0.67,6,33,35752.0,7130.0,816.0,6.0
0.67,6,34,39607.0,7710.0,818.0,5.0
0.67,6,35,43727.0,8240.0,821.0,6.0
0.67,6,36,48079.0,8704.0,822.0,2.0
0.67,6,37,52741.0,9324.0,823.0,3.0
0.67,6,38,57765.0,10048.0,824.0,4.0
0.67,6,39,63040.0,10550.0,827.0,6.0
0.67,6,40,68598.0,11116.0,829.0,4.0
0.67,6,41,74530.0,11864.0,830.0,4.0
0.67,6,42,80833.0,12606.0,832.0,4.0
0.67,6,43,87488.0,13310.0,834.0,6.0
0.67,6,44,94450.0,13924.0,835.0,3.0
0.67,6,45,101767.0,14634.0,836.0,3.0
0.67,6,46,109443.0,15352.0,837.0,2.0
0.67,6,47,117518.0,16150.0,838.0,2.0
0.67,6,48,125976.0,16916.0,839.0,3.0
0.67,6,49,134876.0,17800.0,840.0,2.0
0.67,6,50,144190.0,18628.0,841.0,3.0
0.67,6,51,153886.0,19392.0,841.0,1.0
0.67,6,52,164038.0,20304.0,841.0,0.0
0.67,6,53,174693.0,21310.0,841.0,0.0
0.67,6,54,185659.0,21932.0,841.0,0.0
0.62,7,1,2.0,2.0,2.0,2.0
0.62,7,2,4.0,4.0,2.0,2.0
