total, active, total_stem, active_stem 
1, 1, 1, 1 
2, 2, 2, 2 
4, 4, 3, 3 
8, 8, 5, 5 
16, 16, 9, 9 
32, 32, 16, 16 
62, 60, 27, 25 
111, 98, 44, 38 
191, 160, 63, 49 
303, 224, 86, 57 
464, 322, 118, 72 
667, 406, 150, 77 
929, 524, 186, 86 
1267, 676, 226, 96 
1667, 800, 269, 107 
2155, 976, 315, 111 
2727, 1144, 368, 126 
3426, 1398, 422, 130 
4223, 1594, 476, 127 
5146, 1846, 527, 126 
6205, 2118, 570, 113 
7391, 2372, 622, 121 
8715, 2648, 675, 127 
10196, 2962, 721, 116 
11869, 3346, 762, 105 
