pd,ps,n,time,total_cells,active_cells,stem_cells,active_stem_cells
0.0,0.7,1,1,1,1,1,1
0.0,0.7,1,2,2,2,2,2
0.0,0.7,1,3,4,4,3,3
0.0,0.7,1,4,8,8,5,5
0.0,0.7,1,5,16,16,9,9
0.0,0.7,1,6,32,32,16,16
0.0,0.7,1,7,62,60,27,25
0.0,0.7,1,8,111,98,44,38
0.0,0.7,1,9,191,160,63,49
0.0,0.7,1,10,303,224,86,57
0.0,0.7,1,11,464,322,118,72
0.0,0.7,1,12,667,406,150,77
0.0,0.7,1,13,929,524,186,86
0.0,0.7,1,14,1267,676,226,96
0.0,0.7,1,15,1667,800,269,107
0.0,0.7,1,16,2155,976,315,111
0.0,0.7,1,17,2727,1144,368,126
0.0,0.7,1,18,3426,1398,422,130
0.0,0.7,1,19,4223,1594,476,127
0.0,0.7,1,20,5146,1846,527,126
0.0,0.7,1,21,6205,2118,570,113
0.0,0.7,1,22,7391,2372,622,121
0.0,0.7,1,23,8715,2648,675,127
0.0,0.7,1,24,10196,2962,721,116
0.0,0.7,1,25,11869,3346,762,105
0.0,0.65,5,1,1,1,1,1
0.0,0.65,5,2,2,2,2,2
0.0,0.65,5,3,4,4,3,3
0.0,0.65,5,4,8,8,5,5
0.0,0.65,5,5,16,16,9,9
0.0,0.65,5,6,32,32,16,16
0.0,0.65,5,7,62,60,28,27
0.0,0.65,5,8,113,102,44,38
0.0,0.65,5,9,191,156,61,45
0.0,0.65,5,10,302,222,80,50
0.0,0.65,5,11,461,318,104,57
0.0,0.65,5,12,664,406,129,61
0.0,0.65,5,13,937,546,154,64
0.0,0.65,5,14,1275,676,183,70
0.0,0.65,5,15,1694,838,210,69
0.0,0.65,5,16,2192,996,235,66
0.0,0.65,5,17,2764,1144,259,61
0.0,0.65,5,18,3456,1384,286,67
0.0,0.65,5,19,4259,1606,314,69
0.0,0.65,5,20,5177,1836,340,66
0.0,0.65,5,21,6235,2116,367,66
0.0,0.65,5,22,7423,2376,394,66
0.0,0.65,5,23,8765,2684,413,53
0.0,0.65,5,24,10272,3014,431,47
0.0,0.65,5,25,11934,3324,456,56
0.0,0.5,4,1,1,1,1,1
0.0,0.5,4,2,2,2,1,1
0.0,0.5,4,3,4,4,1,1
0.0,0.5,4,4,8,8,1,1
0.0,0.5,4,5,16,16,2,2
0.0,0.5,4,6,32,32,4,4
0.0,0.5,4,7,61,58,6,4
0.0,0.5,4,8,111,100,7,5
0.0,0.5,4,9,185,148,8,3
0.0,0.5,4,10,293,216,9,4
0.0,0.5,4,11,442,298,11,6
0.0,0.5,4,12,643,402,13,6
0.0,0.5,4,13,903,520,16,8
0.0,0.5,4,14,1223,640,19,9
0.0,0.5,4,15,1617,788,22,7
0.0,0.5,4,16,2100,966,25,8
0.0,0.5,4,17,2685,1170,28,9
0.0,0.5,4,18,3363,1356,31,8
0.0,0.5,4,19,4147,1568,35,9
0.0,0.5,4,20,5034,1774,38,9
0.0,0.5,4,21,6060,2052,41,7
0.0,0.5,4,22,7221,2322,42,5
0.0,0.5,4,23,8564,2686,44,5
0.0,0.5,4,24,10051,2974,45,3
0.0,0.5,4,25,11680,3258,47,4
0.0,0.6,6,1,1,1,1,1
0.0,0.6,6,2,2,2,2,2
0.0,0.6,6,3,4,4,3,3
0.0,0.6,6,4,8,8,3,3
0.0,0.6,6,5,16,16,5,5
0.0,0.6,6,6,32,32,10,10
0.0,0.6,6,7,61,58,15,14
0.0,0.6,6,8,109,96,24,21
0.0,0.6,6,9,181,144,36,27
0.0,0.6,6,10,289,216,48,34
0.0,0.6,6,11,437,296,62,39
0.0,0.6,6,12,634,394,77,40
0.0,0.6,6,13,888,508,94,43
0.0,0.6,6,14,1203,630,111,45
0.0,0.6,6,15,1597,788,127,48
0.0,0.6,6,16,2079,964,147,51
0.0,0.6,6,17,2654,1150,164,46
0.0,0.6,6,18,3332,1356,180,41
0.0,0.6,6,19,4121,1578,196,38
0.0,0.6,6,20,5034,1826,210,32
0.0,0.6,6,21,6058,2048,220,29
0.0,0.6,6,22,7218,2320,231,27
0.0,0.6,6,23,8540,2644,241,28
0.0,0.6,6,24,10002,2924,250,24
0.0,0.6,6,25,11631,3258,260,22
0.0,0.7,2,1,1,1,1,1
0.0,0.7,2,2,2,2,2,2
0.0,0.7,2,3,4,4,3,3
0.0,0.7,2,4,8,8,5,5
0.0,0.7,2,5,16,16,9,9
0.0,0.7,2,6,32,32,16,16
0.0,0.7,2,7,62,60,27,25
0.0,0.7,2,8,111,98,44,38
0.0,0.7,2,9,191,160,63,49
0.0,0.7,2,10,303,224,86,57
0.0,0.7,2,11,464,322,118,72
0.0,0.7,2,12,667,406,150,77
0.0,0.7,2,13,929,524,186,86
0.0,0.7,2,14,1267,676,226,96
0.0,0.7,2,15,1667,800,269,107
0.0,0.7,2,16,2155,976,315,111
0.0,0.7,2,17,2727,1144,368,126
0.0,0.7,2,18,3426,1398,422,130
0.0,0.7,2,19,4223,1594,476,127
0.0,0.7,2,20,5146,1846,527,126
0.0,0.7,2,21,6205,2118,570,113
0.0,0.7,2,22,7391,2372,622,121
0.0,0.7,2,23,8715,2648,675,127
0.0,0.7,2,24,10196,2962,721,116
0.0,0.7,2,25,11869,3346,762,105
0.0,0.6,7,1,1,1,1,1
0.0,0.6,7,2,2,2,2,2
0.0,0.6,7,3,4,4,3,3
0.0,0.6,7,4,8,8,3,3
0.0,0.6,7,5,16,16,5,5
0.0,0.6,7,6,32,32,10,10
0.0,0.6,7,7,61,58,15,14
0.0,0.6,7,8,109,96,24,21
0.0,0.6,7,9,181,144,36,27
0.0,0.6,7,10,289,216,48,34
0.0,0.6,7,11,437,296,62,39
0.0,0.6,7,12,634,394,77,40
0.0,0.6,7,13,888,508,94,43
0.0,0.6,7,14,1203,630,111,45
0.0,0.6,7,15,1597,788,127,48
0.0,0.6,7,16,2079,964,147,51
0.0,0.6,7,17,2654,1150,164,46
0.0,0.6,7,18,3332,1356,180,41
0.0,0.6,7,19,4121,1578,196,38
0.0,0.6,7,20,5034,1826,210,32
0.0,0.6,7,21,6058,2048,220,29
0.0,0.6,7,22,7218,2320,231,27
0.0,0.6,7,23,8540,2644,241,28
0.0,0.6,7,24,10002,2924,250,24
0.0,0.6,7,25,11631,3258,260,22
0.0,0.6,3,1,1,1,1,1
0.0,0.6,3,2,2,2,2,2
0.0,0.6,3,3,4,4,3,3
0.0,0.6,3,4,8,8,3,3
0.0,0.6,3,5,16,16,5,5
0.0,0.6,3,6,32,32,10,10
0.0,0.6,3,7,61,58,15,14
0.0,0.6,3,8,109,96,24,21
0.0,0.6,3,9,181,144,36,27
0.0,0.6,3,10,289,216,48,34
0.0,0.6,3,11,437,296,62,39
0.0,0.6,3,12,634,394,77,40
0.0,0.6,3,13,888,508,94,43
0.0,0.6,3,14,1203,630,111,45
0.0,0.6,3,15,1597,788,127,48
0.0,0.6,3,16,2079,964,147,51
0.0,0.6,3,17,2654,1150,164,46
0.0,0.6,3,18,3332,1356,180,41
0.0,0.6,3,19,4121,1578,196,38
0.0,0.6,3,20,5034,1826,210,32
0.0,0.6,3,21,6058,2048,220,29
0.0,0.6,3,22,7218,2320,231,27
0.0,0.6,3,23,8540,2644,241,28
0.0,0.6,3,24,10002,2924,250,24
0.0,0.6,3,25,11631,3258,260,22
0.0,0.35,2,1,1,1,1,1
0.0,0.35,2,2,2,2,1,1
0.0,0.35,2,3,4,4,1,1
0.0,0.35,2,4,8,8,1,1
0.0,0.35,2,5,16,16,2,2
0.0,0.35,2,6,32,32,4,4
0.0,0.35,2,7,61,58,6,4
0.0,0.35,2,8,111,100,7,5
0.0,0.35,2,9,187,152,7,2
0.0,0.35,2,10,298,222,8,3
0.0,0.35,2,11,453,310,9,3
0.0,0.35,2,12,656,406,9,2
0.0,0.35,2,13,923,534,10,2
0.0,0.35,2,14,1252,658,11,3
0.0,0.35,2,15,1660,816,12,3
0.0,0.35,2,16,2148,976,12,1
0.0,0.35,2,17,2739,1182,12,0
0.0,0.35,2,18,3433,1388,12,0
0.0,0.35,2,19,4236,1606,12,0
0.0,0.35,2,20,5147,1822,12,0
0.0,0.35,2,21,6198,2102,12,0
0.0,0.35,2,22,7401,2406,12,0
0.0,0.35,2,23,8744,2686,12,0
0.0,0.35,2,24,10240,2992,12,0
0.0,0.35,2,25,11924,3368,12,0
0.0,0.55,6,1,1,1,1,1
0.0,0.55,6,2,2,2,2,2
0.0,0.55,6,3,4,4,2,2
0.0,0.55,6,4,8,8,3,3
0.0,0.55,6,5,16,16,5,5
0.0,0.55,6,6,32,32,8,8
0.0,0.55,6,7,62,60,12,11
0.0,0.55,6,8,110,96,18,15
0.0,0.55,6,9,183,146,27,21
0.0,0.55,6,10,294,222,36,25
0.0,0.55,6,11,446,304,50,34
0.0,0.55,6,12,650,408,60,32
0.0,0.55,6,13,916,532,75,37
0.0,0.55,6,14,1240,648,88,38
0.0,0.55,6,15,1632,784,97,32
0.0,0.55,6,16,2116,968,111,33
0.0,0.55,6,17,2685,1138,120,28
0.0,0.55,6,18,3366,1362,131,32
0.0,0.55,6,19,4161,1590,140,31
0.0,0.55,6,20,5064,1806,150,28
0.0,0.55,6,21,6091,2054,160,26
0.0,0.55,6,22,7253,2324,170,24
0.0,0.55,6,23,8556,2606,178,23
0.0,0.55,6,24,10009,2906,188,23
0.0,0.55,6,25,11645,3272,199,26
0.0,0.4,6,1,1,1,1,1
0.0,0.4,6,2,2,2,1,1
0.0,0.4,6,3,4,4,1,1
0.0,0.4,6,4,8,8,1,1
0.0,0.4,6,5,16,16,2,2
0.0,0.4,6,6,32,32,4,4
0.0,0.4,6,7,61,58,6,4
0.0,0.4,6,8,111,100,7,5
0.0,0.4,6,9,187,152,7,2
0.0,0.4,6,10,298,222,8,3
0.0,0.4,6,11,453,310,9,3
0.0,0.4,6,12,656,406,9,2
0.0,0.4,6,13,923,534,10,2
0.0,0.4,6,14,1252,658,11,3
0.0,0.4,6,15,1660,816,12,3
0.0,0.4,6,16,2148,976,12,1
0.0,0.4,6,17,2739,1182,12,0
0.0,0.4,6,18,3433,1388,12,0
0.0,0.4,6,19,4236,1606,12,0
0.0,0.4,6,20,5147,1822,12,0
0.0,0.4,6,21,6198,2102,12,0
0.0,0.4,6,22,7401,2406,12,0
0.0,0.4,6,23,8744,2686,12,0
0.0,0.4,6,24,10240,2992,12,0
0.0,0.4,6,25,11924,3368,12,0
0.0,0.4,5,1,1,1,1,1
0.0,0.4,5,2,2,2,1,1
0.0,0.4,5,3,4,4,1,1
0.0,0.4,5,4,8,8,1,1
0.0,0.4,5,5,16,16,2,2
0.0,0.4,5,6,32,32,4,4
0.0,0.4,5,7,61,58,6,4
0.0,0.4,5,8,111,100,7,5
0.0,0.4,5,9,185,148,7,2
0.0,0.4,5,10,293,216,8,3
0.0,0.4,5,11,445,304,8,2
0.0,0.4,5,12,653,416,9,2
0.0,0.4,5,13,907,508,10,3
0.0,0.4,5,14,1235,656,11,2
0.0,0.4,5,15,1622,774,12,2
0.0,0.4,5,16,2091,938,13,3
0.0,0.4,5,17,2677,1172,14,2
0.0,0.4,5,18,3347,1340,14,1
0.0,0.4,5,19,4120,1546,14,1
0.0,0.4,5,20,5015,1790,14,0
0.0,0.4,5,21,6051,2072,14,0
0.0,0.4,5,22,7243,2384,14,0
0.0,0.4,5,23,8550,2614,14,0
0.0,0.4,5,24,10011,2922,14,0
0.0,0.4,5,25,11642,3262,14,0
0.0,0.4,3,1,1,1,1,1
0.0,0.4,3,2,2,2,1,1
0.0,0.4,3,3,4,4,1,1
0.0,0.4,3,4,8,8,1,1
0.0,0.4,3,5,16,16,2,2
0.0,0.4,3,6,32,32,4,4
0.0,0.4,3,7,61,58,6,4
0.0,0.4,3,8,111,100,7,5
0.0,0.4,3,9,185,148,7,2
0.0,0.4,3,10,293,216,8,3
0.0,0.4,3,11,445,304,8,2
0.0,0.4,3,12,653,416,9,2
0.0,0.4,3,13,907,508,10,3
0.0,0.4,3,14,1235,656,11,2
0.0,0.4,3,15,1622,774,12,2
0.0,0.4,3,16,2091,938,13,3
0.0,0.4,3,17,2677,1172,14,2
0.0,0.4,3,18,3347,1340,14,1
0.0,0.4,3,19,4120,1546,14,1
0.0,0.4,3,20,5015,1790,14,0
0.0,0.4,3,21,6051,2072,14,0
0.0,0.4,3,22,7243,2384,14,0
0.0,0.4,3,23,8550,2614,14,0
0.0,0.4,3,24,10011,2922,14,0
0.0,0.4,3,25,11642,3262,14,0
0.0,0.5,1,1,1,1,1,1
0.0,0.5,1,2,2,2,1,1
0.0,0.5,1,3,4,4,1,1
0.0,0.5,1,4,8,8,1,1
0.0,0.5,1,5,16,16,2,2
0.0,0.5,1,6,32,32,4,4
0.0,0.5,1,7,61,58,6,4
0.0,0.5,1,8,111,100,7,5
0.0,0.5,1,9,187,152,8,3
0.0,0.5,1,10,303,232,10,5
0.0,0.5,1,11,456,306,12,6
0.0,0.5,1,12,660,408,14,6
0.0,0.5,1,13,924,528,16,5
0.0,0.5,1,14,1251,654,18,7
0.0,0.5,1,15,1658,814,20,6
0.0,0.5,1,16,2136,956,23,7
0.0,0.5,1,17,2715,1158,24,4
0.0,0.5,1,18,3400,1370,26,5
0.0,0.5,1,19,4215,1630,28,6
0.0,0.5,1,20,5124,1818,30,7
0.0,0.5,1,21,6156,2064,33,8
0.0,0.5,1,22,7320,2328,35,6
0.0,0.5,1,23,8643,2646,38,6
0.0,0.5,1,24,10124,2962,41,7
0.0,0.5,1,25,11742,3236,43,6
0.0,0.5,7,1,1,1,1,1
0.0,0.5,7,2,2,2,1,1
0.0,0.5,7,3,4,4,1,1
0.0,0.5,7,4,8,8,1,1
0.0,0.5,7,5,16,16,2,2
0.0,0.5,7,6,32,32,4,4
0.0,0.5,7,7,61,58,6,4
0.0,0.5,7,8,111,100,7,5
0.0,0.5,7,9,187,152,8,3
0.0,0.5,7,10,303,232,10,5
0.0,0.5,7,11,456,306,12,6
0.0,0.5,7,12,660,408,14,6
0.0,0.5,7,13,924,528,16,5
0.0,0.5,7,14,1251,654,18,7
0.0,0.5,7,15,1658,814,20,6
0.0,0.5,7,16,2136,956,23,7
0.0,0.5,7,17,2715,1158,24,4
0.0,0.5,7,18,3400,1370,26,5
0.0,0.5,7,19,4215,1630,28,6
0.0,0.5,7,20,5124,1818,30,7
