pd,ps,n,time,total_cells,active_cells,stem_cells,active_stem_cells
0.6,0.8,3,1,1,1,1,1
0.6,0.8,3,2,2,2,2,2
0.6,0.8,3,3,4,4,2,2
0.6,0.8,3,4,8,8,4,4
0.6,0.8,3,5,16,16,8,8
0.6,0.8,3,6,32,32,14,14
0.6,0.8,3,7,61,58,22,20
0.6,0.8,3,8,112,102,34,28
0.6,0.8,3,9,190,156,47,34
0.6,0.8,3,10,304,228,61,36
0.2,0.5,7,1,1,1,1,1
0.2,0.5,7,2,2,2,1,1
0.2,0.5,7,3,4,4,2,2
0.2,0.5,7,4,8,8,4,4
0.2,0.5,7,5,16,16,3,3
0.2,0.5,7,6,32,32,5,5
0.2,0.5,7,7,60,56,9,9
0.2,0.5,7,8,108,96,10,10
0.2,0.5,7,9,184,152,15,11
0.2,0.5,7,10,300,232,16,9
0.4,0.5,9,1,1,1,1,1
0.4,0.5,9,2,2,2,2,2
0.4,0.5,9,3,4,4,1,1
0.4,0.5,9,4,8,8,2,2
0.4,0.5,9,5,16,16,0,0
0.4,0.5,9,6,32,32,0,0
0.4,0.5,9,7,62,60,0,0
0.4,0.5,9,8,110,96,0,0
0.4,0.5,9,9,183,146,0,0
0.4,0.5,9,10,293,220,0,0
0.2,0.8,1,1,1,1,1,1
0.2,0.8,1,2,2,2,2,2
0.2,0.8,1,3,4,4,2,2
0.2,0.8,1,4,8,8,4,4
0.2,0.8,1,5,16,16,6,6
0.2,0.8,1,6,32,32,10,10
0.2,0.8,1,7,62,60,13,12
0.2,0.8,1,8,116,108,15,14
0.2,0.8,1,9,193,154,23,18
0.2,0.8,1,10,307,228,27,16
0.2,0.3,6,1,1,1,1,1
0.2,0.3,6,2,2,2,1,1
0.2,0.3,6,3,4,4,0,0
0.2,0.3,6,4,8,8,0,0
0.2,0.3,6,5,16,16,0,0
0.2,0.3,6,6,31,30,0,0
0.2,0.3,6,7,60,58,0,0
0.2,0.3,6,8,110,100,0,0
0.2,0.3,6,9,189,158,0,0
0.2,0.3,6,10,298,218,0,0
0.2,0.3,3,1,1,1,1,1
0.2,0.3,3,2,2,2,1,1
0.2,0.3,3,3,4,4,0,0
0.2,0.3,3,4,8,8,0,0
0.2,0.3,3,5,16,16,0,0
0.2,0.3,3,6,32,32,0,0
0.2,0.3,3,7,62,60,0,0
0.2,0.3,3,8,113,102,0,0
0.2,0.3,3,9,192,158,0,0
0.2,0.3,3,10,306,228,0,0
0.6,0.5,9,1,1,1,1,1
0.6,0.5,9,2,2,2,2,2
0.6,0.5,9,3,4,4,0,0
0.6,0.5,9,4,8,8,0,0
0.6,0.5,9,5,16,16,0,0
0.6,0.5,9,6,32,32,0,0
0.6,0.5,9,7,60,56,0,0
0.6,0.5,9,8,108,96,0,0
0.6,0.5,9,9,179,142,0,0
0.6,0.5,9,10,282,206,0,0
0.2,0.3,0,1,1,1,1,1
0.2,0.3,0,2,2,2,1,1
0.2,0.3,0,3,4,4,0,0
0.2,0.3,0,4,8,8,0,0
0.2,0.3,0,5,16,16,0,0
0.2,0.3,0,6,32,32,0,0
0.2,0.3,0,7,61,58,0,0
0.2,0.3,0,8,106,90,0,0
0.2,0.3,0,9,182,152,0,0
0.2,0.3,0,10,291,218,0,0
0.2,0.3,4,1,1,1,1,1
0.2,0.3,4,2,2,2,1,1
0.2,0.3,4,3,4,4,2,2
0.2,0.3,4,4,8,8,1,1
0.2,0.3,4,5,16,16,1,1
0.2,0.3,4,6,32,32,1,1
0.2,0.3,4,7,60,56,1,1
0.2,0.3,4,8,107,94,1,0
0.2,0.3,4,9,179,144,1,0
0.2,0.3,4,10,290,222,1,0
0.2,0.8,2,1,1,1,1,1
0.2,0.8,2,2,2,2,2,2
0.2,0.8,2,3,4,4,4,4
0.2,0.8,2,4,8,8,6,6
0.2,0.8,2,5,16,16,8,8
0.2,0.8,2,6,32,32,12,12
0.2,0.8,2,7,61,58,17,16
0.2,0.8,2,8,109,96,23,20
0.2,0.8,2,9,183,148,31,24
0.2,0.8,2,10,295,224,45,34
0.4,0.8,6,1,1,1,1,1
0.4,0.8,6,2,2,2,2,2
0.4,0.8,6,3,4,4,4,4
0.4,0.8,6,4,8,8,6,6
0.4,0.8,6,5,16,16,8,8
0.4,0.8,6,6,32,32,14,14
0.4,0.8,6,7,60,56,22,20
0.4,0.8,6,8,106,92,28,24
0.4,0.8,6,9,180,148,36,28
0.4,0.8,6,10,292,224,53,36
0.2,0.3,2,1,1,1,1,1
0.2,0.3,2,2,2,2,2,2
0.2,0.3,2,3,4,4,2,2
0.2,0.3,2,4,8,8,2,2
0.2,0.3,2,5,16,16,1,1
0.2,0.3,2,6,32,32,0,0
0.2,0.3,2,7,63,62,0,0
0.2,0.3,2,8,113,100,0,0
0.2,0.3,2,9,193,160,0,0
