culture_id,pd,ps,rng_seed,time,total_cells,active_cells,stem_cells,active_stem_cells
1,0.0,0.8,1099666176363082,0,1,1,1,1
1,0.0,0.8,1099666176363082,1,2,2,2,2
1,0.0,0.8,1099666176363082,2,4,4,4,4
1,0.0,0.8,1099666176363082,3,8,8,7,7
1,0.0,0.8,1099666176363082,4,16,16,12,12
1,0.0,0.8,1099666176363082,5,32,32,20,20
1,0.0,0.8,1099666176363082,6,63,63,35,35
1,0.0,0.8,1099666176363082,7,115,115,57,57
1,0.0,0.8,1099666176363082,8,198,198,88,88
1,0.0,0.8,1099666176363082,9,314,314,124,124
1,0.0,0.8,1099666176363082,10,477,477,171,171
2,0.0,0.6,1099666176363082,0,1,1,1,1
2,0.0,0.6,1099666176363082,1,2,2,2,2
2,0.0,0.6,1099666176363082,2,4,4,4,4
2,0.0,0.6,1099666176363082,3,8,8,7,7
2,0.0,0.6,1099666176363082,4,16,16,12,12
2,0.0,0.6,1099666176363082,5,31,31,20,20
2,0.0,0.6,1099666176363082,6,59,59,30,30
2,0.0,0.6,1099666176363082,7,108,108,45,45
2,0.0,0.6,1099666176363082,8,187,187,66,66
2,0.0,0.6,1099666176363082,9,300,300,93,93
2,0.0,0.6,1099666176363082,10,453,453,121,121
3,0.0,0.7,1099666176363082,0,1,1,1,1
3,0.0,0.7,1099666176363082,1,2,2,2,2
3,0.0,0.7,1099666176363082,2,4,4,4,4
3,0.0,0.7,1099666176363082,3,8,8,7,7
3,0.0,0.7,1099666176363082,4,16,16,12,12
3,0.0,0.7,1099666176363082,5,31,31,20,20
3,0.0,0.7,1099666176363082,6,59,59,30,30
3,0.0,0.7,1099666176363082,7,108,108,46,46
3,0.0,0.7,1099666176363082,8,185,185,73,73
3,0.0,0.7,1099666176363082,9,296,296,106,106
3,0.0,0.7,1099666176363082,10,448,448,141,141
4,0.0,0.7,428062343290462,0,1,1,1,1
4,0.0,0.7,428062343290462,1,2,2,2,2
4,0.0,0.7,428062343290462,2,4,4,4,4
4,0.0,0.7,428062343290462,3,8,8,8,8
4,0.0,0.7,428062343290462,4,16,16,14,14
4,0.0,0.7,428062343290462,5,32,32,24,24
4,0.0,0.7,428062343290462,6,60,60,38,38
4,0.0,0.7,428062343290462,7,108,108,57,57
4,0.0,0.7,428062343290462,8,183,183,84,84
4,0.0,0.7,428062343290462,9,292,292,111,111
4,0.0,0.7,428062343290462,10,444,444,143,143
5,0.0,0.8,428062343290462,0,1,1,1,1
5,0.0,0.8,428062343290462,1,2,2,2,2
5,0.0,0.8,428062343290462,2,4,4,4,4
5,0.0,0.8,428062343290462,3,8,8,8,8
5,0.0,0.8,428062343290462,4,16,16,15,15
5,0.0,0.8,428062343290462,5,32,32,25,25
5,0.0,0.8,428062343290462,6,62,62,43,43
5,0.0,0.8,428062343290462,7,114,114,74,74
5,0.0,0.8,428062343290462,8,191,191,112,112
5,0.0,0.8,428062343290462,9,305,305,166,166
5,0.0,0.8,428062343290462,10,460,460,230,230
6,0.0,0.6,428062343290462,0,1,1,1,1
6,0.0,0.6,428062343290462,1,2,2,2,2
6,0.0,0.6,428062343290462,2,4,4,4,4
6,0.0,0.6,428062343290462,3,8,8,8,8
6,0.0,0.6,428062343290462,4,16,16,10,10
6,0.0,0.6,428062343290462,5,32,32,17,17
6,0.0,0.6,428062343290462,6,62,62,24,24
6,0.0,0.6,428062343290462,7,110,110,38,38
6,0.0,0.6,428062343290462,8,188,188,51,51
6,0.0,0.6,428062343290462,9,298,298,64,64
6,0.0,0.6,428062343290462,10,457,457,80,80
