culture_id,pd,ps,rng_seed,time,total_cells,active_cells,stem_cells,active_stem_cells
1,0.0,0.7,1099666176363082,0,1,1,1,1
1,0.0,0.7,1099666176363082,1,2,2,2,2
1,0.0,0.7,1099666176363082,2,4,4,4,4
1,0.0,0.7,1099666176363082,3,8,8,7,7
1,0.0,0.7,1099666176363082,4,16,16,12,12
1,0.0,0.7,1099666176363082,5,31,31,20,20
2,0.0,0.8,1099666176363082,0,1,1,1,1
2,0.0,0.8,1099666176363082,1,2,2,2,2
2,0.0,0.8,1099666176363082,2,4,4,4,4
2,0.0,0.8,1099666176363082,3,8,8,7,7
2,0.0,0.8,1099666176363082,4,16,16,12,12
2,0.0,0.8,1099666176363082,5,32,32,20,20
3,0.0,0.6,1099666176363082,0,1,1,1,1
3,0.0,0.6,1099666176363082,1,2,2,2,2
3,0.0,0.6,1099666176363082,2,4,4,4,4
3,0.0,0.6,1099666176363082,3,8,8,7,7
3,0.0,0.6,1099666176363082,4,16,16,12,12
3,0.0,0.6,1099666176363082,5,31,31,20,20
